comment_ID,comment_post_ID,comment_author,comment_author_url,comment_author_IP,comment_date,comment_date_gmt,comment_content,comment_karma,comment_approved,comment_agent,comment_type,comment_parent,user_id
1,1,A WordPress Commenter,https://wordpress.org/,,2020-06-15 08:00:05,2020-06-15 08:00:05,"Hi, this is a comment.
To get started with moderating, editing, and deleting comments, please visit the Comments screen in the dashboard.
Commenter avatars come from <a href=""https://gravatar.com"">Gravatar</a>.",0,0,,comment,0,0
2,158,Major,https://jobskey.com/what-are-employee-retention-strategies/,198.12.81.250,2020-06-23 08:09:02,2020-06-23 08:09:02,"My relatives every time say that I am wasting my time here at net, except I know I am getting experience everyday by reading such nice posts.



my website; why is my hair so oily very soon after washing (<a href=""https://wiki.modda.se/Anv%C3%A4ndare:Rosa43P9204"" rel=""nofollow ugc"">https://wiki.modda.se/</a>)",0,0,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36",comment,0,0
3,158,Maria,https://jobskey.com/what-are-employee-retention-strategies/,23.229.14.227,2020-06-29 22:17:21,2020-06-29 22:17:21,Melasma tem tratamento mas não tem cura. https://Hourlitter11.Doodlekit.com/blog/entry/9819525/o-que-233-melasma-sintomas-causas-e-tratamentos,0,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2705.45 Safari/537.36",comment,0,0
4,158,Parbrize JAGUAR XF X250 2013,https://jobskey.com/what-are-employee-retention-strategies/,82.76.81.221,2020-06-30 18:17:59,2020-06-30 18:17:59,"Good day! I could have sworn I've been to this blog 
before but after browsing through some of the post I 
realized it's new to me. Anyhow, I'm definitely delighted I 
found it and I'll be bookmarking and checking back frequently! https://vanzari-parbrize.ro/parbrize/parbrize-jaguar.html",0,0,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.89 Safari/537.36 UCBrowser/11.3.5.908",comment,0,0
5,157,7 toips for remote team motivation - Jobskey Staffing and Recruiting Firm,https://jobskey.com/7-tips-to-keep-your-remote-team-motivated/,185.214.124.58,2020-07-09 09:56:30,2020-07-09 09:56:30,"[&#8230;] motivate your team members during the lockdown period, Here are 7 tips that will help you properly manage work in [&#8230;]",0,0,The Incutio XML-RPC PHP Library -- WordPress/5.4.2,pingback,0,0
6,1,7 toips for remote team motivation - Jobskey Staffing and Recruiting Firm,https://jobskey.com/7-tips-to-keep-your-remote-team-motivated/,185.214.124.58,2020-07-09 09:56:59,2020-07-09 09:56:59,"[&#8230;] is an important part of any business to excel in the long run. If you want a team that is both focussed and dedicated during lockdown, it is certain that you should keep an open [&#8230;]",0,0,The Incutio XML-RPC PHP Library -- WordPress/5.4.2,pingback,0,0
7,155,7 tips for remote team motivation - Jobskey Staffing and Recruiting Firm,https://jobskey.com/7-tips-to-keep-your-remote-team-motivated/,185.214.124.58,2020-07-09 10:03:43,2020-07-09 10:03:43,"[&#8230;] staff. It can be beneficial for interacting with the employees, brainstorming, planning ahead of time and conducting team building activities in [&#8230;]",0,0,The Incutio XML-RPC PHP Library -- WordPress/5.4.2,pingback,0,0
8,158,Arnette,https://jobskey.com/what-are-employee-retention-strategies/,23.94.158.190,2020-07-12 20:44:51,2020-07-12 20:44:51,"It's an awesome paragraph for all the internet visitors; they will get benefit from it I am 
sure.

Also visit my web-site; books (<a href=""http://pcgwow.svenlowry.co.uk/member.php?action=profile&amp;uid=289474"" rel=""nofollow ugc"">http://pcgwow.svenlowry.co.uk/</a>)",0,0,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3381.1 Safari/537.36",comment,0,0
9,666,8 Tips to Improve Employee Experience in 2020 - Jobskey,https://jobskey.com/8-tips-to-improve-employee-experience-in-2020/,185.214.124.58,2020-07-15 05:18:49,2020-07-15 05:18:49,"[&#8230;] As an employer of present days, you have to make sure that your employees are rightly trained and motivated, for which their employee experience needs to be enhanced . The main goal of an employer must be, [&#8230;]",0,0,The Incutio XML-RPC PHP Library -- WordPress/5.4.2,pingback,0,0
10,1,Desiree,https://jobskey.com/what-are-employee-retention-strategies/,188.93.133.214,2020-07-31 20:51:48,2020-07-31 20:51:48,"hello!,I really like your writing very much! share we be 
in contact more about your article on AOL? I need an expert 
in this space to unravel my problem. May be that is you!
Taking a look ahead to peer you.

my homepage ... <a href=""https://flotgaming.net/forums/member.php?u=5014-NonaMcdougall1"" rel=""nofollow ugc"">Movie Trailers Area</a>",0,0,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:59.0) Gecko/20100101 Firefox/59.0,comment,0,0
11,1,Parbrize KIA CARNIVAL II GQ 2006,https://jobskey.com/what-are-employee-retention-strategies/,82.79.236.59,2020-08-01 14:04:59,2020-08-01 14:04:59,"Hi there! I know this is kind of off topic but I was 
wondering if you knew where I could find a captcha plugin for my comment form?
I'm using the same blog platform as yours and I'm having 
trouble finding one? Thanks a lot! https://vanzari-parbrize.ro/parbrize/parbrize-kia.html",0,0,Mozilla/5.0 (X11; Linux i686; rv:52.9) Gecko/20100101 Goanna/3.4 Firefox/52.9 PaleMoon/27.8.3,comment,0,0
